history_item,tag_id,timestamp
1915,1,708528850.070493
2182,2,708965557.272504
2236,3,708978586.238441
2238,4,708982219.27661
2338,5,709231031.476124
2376,6,709570699.722912
2484,8,709578325.279759
2493,7,709582020.194967
2500,8,709582260.929307
2528,10,709583102.006931
2541,4,709583469.774122
2518,9,709584014.277381
2684,8,709667760.376871
2747,12,709675483.364156
2816,5,709740524.387662
2819,5,709742037.014915
2865,13,709752604.705734
2927,14,709759285.193457
2824,5,709761899.464229
2983,15,709841887.510479
3190,16,710112159.037461
3009,17,710261488.863644
3242,17,710265199.323346
3327,19,710283972.640243
3337,20,710285340.925827
3354,21,710286199.631197
3380,18,710287079.575875
3415,22,710430700.966104
3539,5,710450568.380155
3577,23,710692140.532983
3578,23,710692149.10187
3846,24,710717835.909159
3856,25,710720433.883163
3880,26,710786092.483815
3971,27,710797655.470671
4185,30,710953866.496135
4100,31,710956389.338821
2601,32,711038223.517097
4438,34,711296678.784279
4619,35,711320513.00701
4839,36,711393490.797381
4842,37,711394142.299671
4857,24,711477630.947959
4902,38,711494662.525674
4944,39,711555850.285121
4963,40,711557086.880045
4659,41,711562531.900249
5179,42,711661480.50814
4428,43,711668714.646499
5322,15,711989196.428441
5354,44,712007620.495549
5396,45,712012995.663234
5323,36,712072181.110412
5409,46,712072193.853072
5420,47,712072878.766469
5431,48,712072933.723239
5702,24,712095484.340938
5752,32,712097838.191987
6037,17,712511508.525943
6042,49,712511620.677593
6086,50,712520710.822674
6096,51,712521125.412013
6106,36,712521883.234805
6199,53,712599350.240286
6178,52,712600082.734303
3330,17,712607017.355584
6269,12,712617180.89938
6280,54,712617424.784173
6333,55,712619721.726344
6378,15,712684417.261378
3996,4,712687877.638736
6392,56,712694077.277052
6408,57,712703372.651172
6482,58,712773533.656385
6510,24,712785804.220403
6536,59,712854730.204082
6598,60,712874237.405376
6799,36,713376664.373858
6798,36,713376700.212376
3881,13,713385896.821848
6855,62,713386974.594755
6857,56,713387435.067983
6916,63,713479871.470039
6750,61,713480720.328093
4179,24,714937821.357065
7318,17,714941052.03843
7360,24,714947630.489052
7424,64,715016450.80096
7428,65,715020726.941673
7727,66,715121092.988442
7836,67,715282422.109187
7940,68,715623823.029988
7955,69,715626375.73917
7797,70,715638524.809285
8087,36,715720200.625646
8099,72,715721743.469513
8212,73,715729415.922268
8213,73,715729467.277876
8293,24,715799043.457324
7493,64,715884214.261785
8417,69,715884237.438022
8453,74,715890889.801356
8455,75,715891312.453343
8465,76,715891788.704726
8528,77,715893873.471918
8618,24,716119258.981469
8660,4,716123296.817223
8718,78,716125006.387959
8736,79,716126136.283273
8779,36,716202279.828017
8791,43,716202506.764681
8880,80,716298646.955434
9036,81,716752200.966877
9048,82,716753633.022489
9047,82,716753643.847717
9064,81,716755673.311295
9076,83,716763576.1349
9164,36,716845354.112232
9194,84,716848941.577019
9249,85,716913098.025028
9250,85,716913115.621545
9252,85,716913131.893251
8791,86,716913163.694041
9340,81,716927619.240264
9448,87,716940164.686938
9469,80,716998076.990017
9471,88,716998779.38962
9483,89,717004071.265125
9516,90,717013561.121794
9647,91,717100211.948301
9665,92,717101504.886491
9577,93,717111852.151321
9736,10,717429367.760811
9739,81,717429712.249777
9778,94,717436570.070083
9793,5,717438521.081936
9840,81,717447381.634039
9997,71,717532312.418734
10065,95,717610393.9688
10087,94,717612762.942217
10116,96,717630932.352909
10261,97,717704319.822976
729,7,717716723.092248
10318,98,717717067.061842
10402,99,717954319.226985
10412,100,717956498.721279
10428,71,717959802.126506
10414,100,717965150.612391
10454,101,717972240.33064
10519,102,718048155.765635
10525,48,718048465.757184
10530,24,718048567.699092
10733,103,718294433.05811
10765,104,718301692.983811
10747,105,718668022.67945
7305,3,718668897.325781
11149,18,718721652.833518
11156,106,718723882.577417
