id,type,level,identifier,title,modification_timestamp,item_count
1,1,200,Q1070427,Internet security,732750756.026929,3
2,1,200,Q3489404,Solid surface,708965557.272504,1
3,1,200,Q2066512,Wilshire Boulevard,718668897.325781,3
4,1,200,Q131746,Perfume,733072479.265896,5
5,1,200,Q683476,Financial adviser,737664689.739515,14
6,1,200,Q193375,Tate Modern,709570699.722912,2
7,1,200,Q54078,IKEA,717716723.092248,11
8,1,200,Q1544785,"Greenpoint, Brooklyn",719357492.732056,4
9,1,200,Q157062,Unilever,709584014.277381,2
10,1,200,Q10530881,Rental agreement,717429367.760811,2
11,1,200,Q472756,Piero Manzoni,734626890.477545,4
12,1,200,Q182940,Dessert,712617180.89938,2
13,1,200,Q716894,Lease,734465857.622859,4
14,1,200,Q23057901,Chrysler Pacifica,709759285.193457,1
15,1,200,Q50429,Yongsan District,737910985.544485,26
16,1,200,Q25021298,Google Pixel,710112159.037461,1
17,1,200,Q540665,Françoise Gilot,714941052.03843,5
18,1,200,Q579021,Perfumer,735594026.955058,5
19,1,200,Q2357982,Attenuation,710283972.640243,1
20,1,200,Q2631268,111 West 57th Street,710285340.925827,1
21,1,200,Q44541,Pancake,710286199.631197,1
22,1,200,Q1652122,El Bruto,710430700.966104,1
23,1,200,Q190581,Invoice,728934293.211267,4
24,1,200,Q1968287,Greenpoint Avenue station,736808788.943593,43
25,1,200,Q155407,Jean-Michel Basquiat,710720433.883163,1
26,1,200,Q635734,Archivist,710786092.483815,1
27,1,200,Q37868,Algae,730752463.410948,4
28,1,200,Q7653906,Social insurance,736896753.655011,10
29,1,200,Q2912154,Verifone,729034545.225033,4
30,1,200,Q1206056,Minute Maid,710953866.496135,1
31,1,200,Q207902,Adobe Acrobat,727916578.908371,2
32,1,200,Q466786,Newark Liberty International Airport,712097838.191987,2
33,1,200,Q188506,Online banking,721856024.421239,2
34,1,200,Q1500347,Human microbiome,733073088.134934,2
35,1,200,Q1456206,Golden Gate National Recreation Area,711320513.00701,1
36,1,200,Q575913,Kelp forest,731958889.386192,17
37,1,200,Q192783,Doughnut,711394142.299671,1
38,1,200,Q180388,Waste management,711494662.525674,1
39,1,200,Q114834,FairTax,731442824.329728,2
40,1,200,Q246386,Data Universal Numbering System,711557086.880045,1
41,1,200,Q442467,María Sabina,711562531.900249,1
42,1,200,Q11055488,Sales tax,736871944.225061,4
43,1,200,Q864699,Bioreactor,716202506.764681,2
44,1,200,Q160453,Simple Mail Transfer Protocol,712007620.495549,2
45,1,200,Q19029,Rice pudding,712012995.663234,1
46,1,200,Q845477,Exchange-traded fund,712072193.853072,1
47,1,200,Q161086,JetBlue,712072878.766469,1
48,1,200,Q360118,Adobe Creative Suite,732488732.861376,7
49,1,200,Q466654,Pacita Abad,712511620.677593,1
50,1,200,Q32919,Cambrian explosion,712520710.822674,1
51,1,200,Q334459,Horatio Bottomley,712521125.412013,1
52,1,200,Q191551,easyJet,712600082.734303,2
53,1,200,Q1773215,Non-24-hour sleep–wake disorder,712599350.240286,1
54,1,200,Q2632776,Gluten-free diet,712617424.784173,2
55,1,200,Q192674,Factoring,735510573.780113,2
56,1,200,Q41361,United States fiscal cliff,713387435.067983,3
57,1,200,Q457883,Ikue Mori,712703372.651172,2
58,1,200,Q11982,Photosynthesis,737569984.55478,2
59,1,200,Q19537,Bonobo,712854730.204082,1
60,1,200,Q365691,Olafur Eliasson,736350760.042454,2
61,1,200,Q190247,Numerical control,729116287.922622,7
62,1,200,Q188920,Delta Air Lines,713386974.594755,1
63,1,200,Q1062630,Tax credit,723158057.700193,5
64,1,200,Q599273,Ugo Rondinone,715884214.261785,3
65,1,200,Q781014,Aubusson tapestry,715020726.941673,1
66,1,200,Q246345,Accessible tourism,715121092.988442,1
67,1,200,Q180544,Prism,715282422.109187,1
68,1,200,Q771572,"Williamsburg, Brooklyn",729196934.039149,4
69,1,200,Q152252,Potsdamer Platz,715884237.438022,2
70,1,200,Q3088430,Resistance,715638524.809285,1
71,1,200,Q135005,Phishing,723061733.6289,8
72,1,200,Q75791,Claudia Roth,715721743.469513,1
73,1,200,Q104541,Aerosol,715729467.277876,2
74,1,200,Q654493,Turkish cuisine,718909333.614932,2
75,1,200,Q7887327,Comfort food,715891312.453343,1
76,1,200,Q317056,Friedrichshain,715891788.704726,1
77,1,200,Q376589,Berlin Südkreuz,715893873.471918,1
78,1,200,Q722218,Label,716125006.387959,1
79,1,200,Q902723,Microbial fuel cell,716126136.283273,1
80,1,200,Q189998,Flagellum,716998076.990017,2
81,1,200,Q334501,Wire transfer,731953450.258487,7
82,1,200,Q1288359,Félix González-Torres,716753643.847717,3
83,1,200,Q842270,Copyright law of the United States,716763576.1349,1
84,1,200,Q15616276,Telegram,716848941.577019,1
85,1,200,Q179222,Income tax,732051769.544138,4
86,1,200,Q45782,Aquarium,718924447.859127,2
87,1,200,Q622512,Spanish cuisine,716940164.686938,1
88,1,200,Q38867,Laser,716998779.38962,1
89,1,200,Q380313,Archival science,717004071.265125,1
90,1,200,Q207849,Acrylic paint,717013561.121794,1
91,1,200,Q1066028,Charles Schwab Corporation,723415276.128626,2
92,1,200,Q386147,Point of sale,717101504.886491,2
93,1,200,Q328709,Tempura,735151620.703791,4
94,1,200,Q2561175,Henie Onstad Kunstsenter,717612762.942217,2
95,1,200,Q917419,Bring your own device,717610393.9688,2
96,1,200,Q161,Fiber,717630932.352909,1
97,1,200,Q744,Nickel,717704319.822976,1
98,1,200,Q171495,Mattress,717717067.061842,1
99,1,200,Q121713,Acupuncture,734906362.916883,5
100,1,200,Q1835,Zinedine Zidane,717965150.612391,3
